date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:57:26	328/328	---M--	200	added ('OK')	text/plain	etag:%22e846fe0a016cf1:54b0cb%22	http://www.vitutor.com/robots.txt		(from )
11:57:27	20066/20066	---M--	200	added ('OK')	text/html	etag:%2294c91e6ed28cf1:54b0cb%22	http://www.vitutor.com/	/home/mario/websites/copiaVitutor/www.vitutor.com/index.html	(from )
11:57:31	2166/2166	---M--	200	added ('OK')	image/x-icon	etag:%22545d6bf2ded9cd1:0%22	http://www.vitutor.it/favicon.ico	/home/mario/websites/copiaVitutor/www.vitutor.it/favicon.ico	(from )
11:57:31	38443/38443	---M-Z	200	added ('OK')	text/css	etag:%22557a71429021cf1:0%22	http://www.vitutor.it/css/style-html.css	/home/mario/websites/copiaVitutor/www.vitutor.it/css/style-html.css	(from )
11:57:31	5299/5299	---M-Z	200	added ('OK')	text/css	etag:%22222e84209cc5ce1:0%22	http://www.vitutor.it/css/hojaEjercicios.css	/home/mario/websites/copiaVitutor/www.vitutor.it/css/hojaEjercicios.css	(from )
11:57:32	3777/3777	---M-Z	200	added ('OK')	text/css	etag:%228f1759ca9021cf1:0%22	http://www.vitutor.it/css/queries.css	/home/mario/websites/copiaVitutor/www.vitutor.it/css/queries.css	(from )
11:57:32	5943/5943	---M-Z	200	added ('OK')	text/css	etag:%229df22da2fcd6cd1:0%22	http://www.vitutor.it/css/print.css	/home/mario/websites/copiaVitutor/www.vitutor.it/css/print.css	(from )
11:57:32	93858/93858	---M-Z	200	added ('OK')	application/x-javascript	etag:%229920e3a5fed6cd1:0%22	http://www.vitutor.it/js/jquery.js	/home/mario/websites/copiaVitutor/www.vitutor.it/js/jquery.js	(from )
11:57:34	5190/5190	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2026%20Feb%202014%2010:57:32%20GMT	http://www.vitutor.it/js/superfish.js	/home/mario/websites/copiaVitutor/www.vitutor.it/js/superfish.6.delayed	(from )
11:57:34	3951/3951	---M-Z	200	added ('OK')	application/x-javascript	etag:%22e4878fe93c5ce1:0%22	http://www.vitutor.it/js/a.js	/home/mario/websites/copiaVitutor/www.vitutor.it/js/a.js	(from )
11:57:34	732/732	---M-Z	200	added ('OK')	application/x-javascript	etag:%225e9b29461cd9cd1:0%22	http://www.vitutor.it/js/ajax-resumen.js	/home/mario/websites/copiaVitutor/www.vitutor.it/js/ajax-resumen.js	(from )
11:57:39	22678/22678	---MC-	200	added ('OK')	text/javascript	date:Fri,%2024%20Jan%202014%2007:24:36%20GMT	http://www.google-analytics.com/urchin.js	/home/mario/websites/copiaVitutor/www.google-analytics.com/urchin.js	(from )
11:57:39	160235/160235	---M-Z	200	added ('OK')	application/x-javascript	etag:%2227531cab96e7fd799385d01027fa02e0%22	http://connect.facebook.net/es_LA/all.js	/home/mario/websites/copiaVitutor/connect.facebook.net/es_LA/all.js	(from )
11:57:41	20066/20066	---M--	200	added ('OK')	text/html	etag:%2294c91e6ed28cf1:54b0cb%22	http://www.vitutor.com/index.html	/home/mario/websites/copiaVitutor/www.vitutor.com/index-2.html	(from )
11:57:41	3226/3226	---M--	200	added ('OK')	image/png	etag:%2262b374939cd8cd1:0%22	http://www.vitutor.it/images/logo.png	/home/mario/websites/copiaVitutor/www.vitutor.it/images/logo.png	(from )
11:57:41	2510/2510	---MC-	200	added ('OK')	text/javascript	date:Tue,%2025%20Feb%202014%2012:51:40%20GMT	http://www.google.es/coop/cse/brand?form=cse-search-box&lang=es	/home/mario/websites/copiaVitutor/www.google.es/coop/cse/brand3b57	(from )
11:57:47	3176/3176	---M--	200	added ('OK')	image/png	etag:%227727676b3c89ce1:0%22	http://www.vitutor.it/images/logo-peq.png	/home/mario/websites/copiaVitutor/www.vitutor.it/images/logo-peq.png	(from )
11:57:48	11765/11765	---M--	200	added ('OK')	text/html	etag:%221a408dc7ed28cf1:54b0cb%22	http://www.vitutor.com/1_eso.html	/home/mario/websites/copiaVitutor/www.vitutor.com/1_eso.html	(from )
11:57:48	19528/19528	---MC-	200	added ('OK')	text/javascript	etag:9762960187297882360	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	/home/mario/websites/copiaVitutor/pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	(from )
11:57:48	11920/11920	---M--	200	added ('OK')	text/html	etag:%229eb683c7ed28cf1:54b0cb%22	http://www.vitutor.com/2_eso.html	/home/mario/websites/copiaVitutor/www.vitutor.com/2_eso.html	(from )
11:57:49	12306/12306	---M--	200	added ('OK')	text/html	etag:%22511efc7ed28cf1:54b0cb%22	http://www.vitutor.com/3_eso.html	/home/mario/websites/copiaVitutor/www.vitutor.com/3_eso.html	(from )
11:57:49	12414/12414	---M--	200	added ('OK')	text/html	etag:%22517d78d1ed28cf1:54b0cb%22	http://www.vitutor.com/eso_4a.html	/home/mario/websites/copiaVitutor/www.vitutor.com/eso_4a.html	(from )
11:57:50	40087/40087	---M-Z	200	added ('OK')	text/html	date:Wed,%2026%20Feb%202014%2010:57:48%20GMT	http://www.vitutor.biz/	/home/mario/websites/copiaVitutor/www.vitutor.biz/index.html	(from http://www.vitutor.com/)
11:57:50	12681/12681	---M--	200	added ('OK')	text/html	etag:%22cd8af8c7ed28cf1:54b0cb%22	http://www.vitutor.com/4_eso_b.html	/home/mario/websites/copiaVitutor/www.vitutor.com/4_eso_b.html	(from )
11:57:50	11836/11836	---M--	200	added ('OK')	text/html	etag:%2252d82eceed28cf1:54b0cb%22	http://www.vitutor.com/aritmetica.html	/home/mario/websites/copiaVitutor/www.vitutor.com/aritmetica.html	(from )
11:57:51	11922/11922	---M--	200	added ('OK')	text/html	etag:%229dba2fcded28cf1:54b0cb%22	http://www.vitutor.com/algebra.html	/home/mario/websites/copiaVitutor/www.vitutor.com/algebra.html	(from )
11:57:51	11267/11267	---M--	200	added ('OK')	text/html	etag:%22fc1c32cded28cf1:54b0cb%22	http://www.vitutor.com/algebralineal.html	/home/mario/websites/copiaVitutor/www.vitutor.com/algebralineal.html	(from )
11:57:52	11949/11949	---M--	200	added ('OK')	text/html	etag:%2250c35fd2ed28cf1:54b0cb%22	http://www.vitutor.com/geometria.html	/home/mario/websites/copiaVitutor/www.vitutor.com/geometria.html	(from )
11:57:52	12596/12596	---M--	200	added ('OK')	text/html	etag:%22bfff3bd2ed28cf1:54b0cb%22	http://www.vitutor.com/geoanalitica.html	/home/mario/websites/copiaVitutor/www.vitutor.com/geoanalitica.html	(from )
11:57:53	10728/10728	---M--	200	added ('OK')	text/html	etag:%222653eaed28cf1:54b0cb%22	http://www.vitutor.com/trigonometria.html	/home/mario/websites/copiaVitutor/www.vitutor.com/trigonometria.html	(from )
